user_id,retained_30d
1,1
2,0
3,1
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,1
214,0
215,1
216,1
217,1
218,1
219,0
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,1
260,0
261,1
262,1
263,0
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,1
291,1
292,0
293,1
294,1
295,0
296,1
297,0
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,1
349,1
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,0
399,1
400,1
401,1
402,1
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,1
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,0
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,1
468,1
469,0
470,1
471,1
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,0
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,1
548,1
549,1
550,0
551,0
552,1
553,0
554,0
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,1
577,1
578,1
579,1
580,1
581,1
582,0
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,0
610,0
611,0
612,1
613,1
614,0
615,1
616,1
617,1
618,0
619,0
620,1
621,0
622,1
623,1
624,0
625,1
626,1
627,1
628,0
629,0
630,1
631,0
632,1
633,1
634,1
635,1
636,0
637,0
638,1
639,1
640,1
641,1
642,0
643,0
644,1
645,0
646,1
647,0
648,1
649,0
650,0
651,0
652,1
653,0
654,1
655,1
656,1
657,0
658,0
659,1
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,1
675,0
676,1
677,1
678,1
679,0
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,1
689,1
690,1
691,0
692,1
693,0
694,1
695,0
696,1
697,0
698,0
699,0
700,1
701,1
702,0
703,1
704,0
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,1
715,0
716,1
717,1
718,1
719,0
720,1
721,0
722,0
723,0
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,1
732,0
733,1
734,0
735,1
736,0
737,0
738,0
739,0
740,1
741,0
742,0
743,0
744,1
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,0
759,0
760,0
761,1
762,1
763,0
764,1
765,1
766,1
767,0
768,1
769,1
770,1
771,0
772,0
773,0
774,1
775,1
776,0
777,0
778,0
779,1
780,0
781,1
782,0
783,1
784,0
785,0
786,1
787,0
788,1
789,1
790,0
791,1
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,0
803,0
804,0
805,1
806,0
807,0
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,0
817,1
818,0
819,0
820,1
821,0
822,1
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,1
831,1
832,0
833,0
834,1
835,1
836,0
837,0
838,1
839,0
840,1
841,1
842,1
843,0
